country,technology,carrier,heat_type,year,value,unit
XY,EDLH,Electricity,IND-LH,2050,1.097,TWh
XY,EHPP,Electricity,IND-LH,2050,8.8015,TWh
XY,EIDT,Electricity,IND-HH,2050,75.8969,TWh
XY,IND_BOILER,Bio,IND-HH,2050,10.3483,TWh
XY,IND_BOILER,Bio,IND-LH,2050,50.4908,TWh
XY,IND_BOILER,Gas,IND-LH,2050,2.4678,TWh
XY,IND_BOILER,Hrdc,IND-HH,2050,0.0285,TWh
XY,IND_BOILER,Hrdc,IND-LH,2050,2.8652,TWh
XY,IND_BOILER,Hyd,IND-LH,2050,24.0365,TWh
YZ,EDLH,Electricity,IND-LH,2050,1.6441,TWh
YZ,EERH,Electricity,IND-HH,2050,1.7163,TWh
YZ,EHPP,Electricity,IND-LH,2050,21.9616,TWh
YZ,EIDT,Electricity,IND-HH,2050,66.3585,TWh
YZ,IND_BOILER,Bio,IND-HH,2050,13.9851,TWh
YZ,IND_BOILER,Bio,IND-LH,2050,49.8673,TWh
YZ,IND_BOILER,Gas,IND-LH,2050,3.8333,TWh
YZ,IND_BOILER,Hrdc,IND-HH,2050,4.2138,TWh
YZ,IND_BOILER,Hrdc,IND-LH,2050,6.5463,TWh
YZ,IND_BOILER,Oil,IND-LH,2050,12.7658,TWh
XY,SWHT,Solar,IND-LH,2050,6.0562,TWh
