country,carrier,region,heat_type,year,value,unit
XY,Bio,CE,IND-HH,2030,12.07,TWh
XY,Bio,CE,IND-LH,2030,32.56,TWh
XY,Bio,SO,IND-HH,2030,1.54,TWh
XY,Bio,SO,IND-LH,2030,18.48,TWh
XY,Electricity,CE,IND-HH,2030,48.95,TWh
XY,Electricity,CE,IND-LH,2030,1.84,TWh
XY,Electricity,NR,IND-HH,2030,5.3,TWh
XY,Electricity,NR,IND-LH,2030,0.24,TWh
XY,Electricity,SO,IND-HH,2030,3.02,TWh
XY,Electricity,SO,IND-LH,2030,0.29,TWh
XY,Gas,CE,IND-LH,2030,15.3,TWh
XY,Gas,NR,IND-LH,2030,9.59,TWh
XY,Hrdc,CE,IND-HH,2030,8.28,TWh
XY,Hrdc,NR,IND-HH,2030,0.82,TWh
XY,Hrdc,SO,IND-HH,2030,0.27,TWh
XY,Hrdc,SO,IND-LH,2030,9.55,TWh
XY,Oil,CE,IND-LH,2030,10.56,TWh
XY,Oil,NR,IND-LH,2030,2.02,TWh
YZ,Bio,CE,IND-HH,2030,17.6,TWh
YZ,Bio,CE,IND-LH,2030,32.54,TWh
YZ,Bio,SO,IND-HH,2030,3.08,TWh
YZ,Bio,SO,IND-LH,2030,18.48,TWh
YZ,Electricity,CE,IND-HH,2030,26.76,TWh
YZ,Electricity,CE,IND-LH,2030,15.95,TWh
YZ,Electricity,NR,IND-HH,2030,3.88,TWh
YZ,Electricity,NR,IND-LH,2030,6.55,TWh
YZ,Electricity,SO,IND-HH,2030,0.32,TWh
YZ,Electricity,SO,IND-LH,2030,0.19,TWh
YZ,Gas,CE,IND-LH,2030,1.67,TWh
YZ,Gas,NR,IND-LH,2030,1.99,TWh
YZ,Hrdc,CE,IND-HH,2030,24.94,TWh
YZ,Hrdc,NR,IND-HH,2030,2.25,TWh
YZ,Hrdc,SO,IND-HH,2030,1.42,TWh
YZ,Hrdc,SO,IND-LH,2030,9.65,TWh
YZ,Oil,CE,IND-LH,2030,10.2,TWh
YZ,Oil,NR,IND-LH,2030,3.3,TWh
