country,carrier,region,heat_type,year,value,unit
XY,Bio,CE,IND-HH,2030,2.0,GW
XY,Bio,CE,IND-LH,2030,3.7,GW
XY,Bio,SO,IND-HH,2030,0.35,GW
XY,Bio,SO,IND-LH,2030,2.1,GW
XY,Electricity,CE,IND-HH,2030,6.76,GW
XY,Electricity,CE,IND-LH,2030,0.77,GW
XY,Electricity,NR,IND-HH,2030,0.65,GW
XY,Electricity,NR,IND-LH,2030,0.26,GW
XY,Electricity,SO,IND-HH,2030,0.45,GW
XY,Electricity,SO,IND-LH,2030,0.32,GW
XY,Gas,CE,IND-HH,2030,3.3,GW
XY,Gas,CE,IND-LH,2030,2.66,GW
XY,Gas,NR,IND-HH,2030,0.44,GW
XY,Gas,NR,IND-LH,2030,1.5,GW
XY,Gas,SO,IND-LH,2030,2.0,GW
XY,Hrdc,CE,IND-HH,2030,4.2,GW
XY,Hrdc,NR,IND-HH,2030,0.37,GW
XY,Hrdc,SO,IND-HH,2030,0.39,GW
XY,Hrdc,SO,IND-LH,2030,1.9,GW
XY,Oil,CE,IND-HH,2030,1.2,GW
XY,Oil,CE,IND-LH,2030,1.2,GW
XY,Oil,NR,IND-HH,2030,0.1,GW
XY,Oil,NR,IND-LH,2030,0.23,GW
XY,Oil,SO,IND-HH,2030,0.08,GW
XY,Oil,SO,IND-LH,2030,0.34,GW
YZ,Bio,CE,IND-HH,2030,2.0,GW
YZ,Bio,CE,IND-LH,2030,3.7,GW
YZ,Bio,SO,IND-HH,2030,0.35,GW
YZ,Bio,SO,IND-LH,2030,2.1,GW
YZ,Electricity,CE,IND-HH,2030,3.67,GW
YZ,Electricity,CE,IND-LH,2030,2.54,GW
YZ,Electricity,NR,IND-HH,2030,0.49,GW
YZ,Electricity,NR,IND-LH,2030,1.07,GW
YZ,Electricity,SO,IND-HH,2030,0.08,GW
YZ,Electricity,SO,IND-LH,2030,0.32,GW
YZ,Gas,CE,IND-HH,2030,3.3,GW
YZ,Gas,CE,IND-LH,2030,2.0,GW
YZ,Gas,NR,IND-HH,2030,0.44,GW
YZ,Gas,NR,IND-LH,2030,1.5,GW
YZ,Gas,SO,IND-LH,2030,2.0,GW
YZ,Hrdc,CE,IND-HH,2030,4.2,GW
YZ,Hrdc,NR,IND-HH,2030,0.37,GW
YZ,Hrdc,SO,IND-HH,2030,0.39,GW
YZ,Hrdc,SO,IND-LH,2030,1.9,GW
YZ,Oil,CE,IND-HH,2030,2.4,GW
YZ,Oil,CE,IND-LH,2030,2.4,GW
YZ,Oil,NR,IND-HH,2030,0.2,GW
YZ,Oil,NR,IND-LH,2030,0.46,GW
YZ,Oil,SO,IND-HH,2030,0.16,GW
YZ,Oil,SO,IND-LH,2030,0.68,GW
