country,region,technology,year,value,unit
XY,CE,BIOT,2025,0.94,GW
XY,CE,CCGT,2025,24.0,GW
XY,CE,NUCL,2025,1.5,GW
XY,CE,SubC,2025,3.4,GW
XY,CE,WSTT,2025,0.02,GW
XY,NR,BIOT,2025,0.61,GW
XY,NR,NUCL,2025,0.06,GW
XY,NR,SubC,2025,2.4,GW
XY,NR,WSTT,2025,0.02,GW
XY,SO,BIOT,2025,0.63,GW
XY,SO,CCGT,2025,2.9,GW
XY,SO,OILT,2025,0.31,GW
XY,SO,WSTT,2025,0.02,GW
YZ,CE,CCGT,2025,3.2,GW
YZ,CE,OCGT,2025,1.0,GW
YZ,CE,SubC,2025,1.0,GW
YZ,CE,SupC,2025,1.3,GW
YZ,NR,BIOT,2025,0.01,GW
YZ,NR,CCGT,2025,3.0,GW
YZ,NR,OCGT,2025,4.5,GW
YZ,NR,OILT,2025,0.4,GW
YZ,NR,SubC,2025,6.0,GW
YZ,NR,SupC,2025,4.0,GW
YZ,SO,CCGT,2025,2.5,GW
YZ,SO,OCGT,2025,2.1,GW
YZ,SO,SubC,2025,1.9,GW
YZ,SO,SupC,2025,1.0,GW
XY,CE,PHOT,2025,1.68,GW
XY,CE,RTPV,2025,0.03,GW
XY,NR,PHOT,2025,0.52,GW
XY,NR,RTPV,2025,0.32,GW
XY,NR,WTON,2025,0.06,GW
XY,SO,PHOT,2025,0.05,GW
XY,SO,RTPV,2025,0.04,GW
XY,SO,WTON,2025,0.06,GW
YZ,CE,RTPV,2025,0.03,GW
YZ,CE,WTON,2025,0.11,GW
YZ,NR,PHOT,2025,0.4,GW
YZ,NR,RTPV,2025,0.32,GW
YZ,NR,WTON,2025,0.83,GW
YZ,SO,PHOT,2025,0.89,GW
YZ,SO,RTPV,2025,0.04,GW
YZ,SO,WTON,2025,0.48,GW
XY,CE,HDAM,2025,1.0,GW
XY,NR,HDAM,2025,1.2,GW
XY,SO,HDAM,2025,0.3,GW
